robot_x,robot_y,robot_yaw_deg,robot_vel_x,robot_vel_y,velocity_magnitude,distance_to_hub,pitch_deg,flywheel_speed,lateral_error
0.792,3.228,0.0,3.0,0.75,3.092329219213245,3.513221804839541,50.0,6.326530612244898,0.6520949863032345
0.792,3.228,0.0,3.0,1.5,3.3541019662496847,3.513221804839541,50.0,6.326530612244898,0.8638431024477169
0.792,3.228,0.0,3.0,2.25,3.75,3.513221804839541,50.0,6.326530612244898,0.9717766949257683
0.792,3.228,0.0,3.0,3.0,4.242640687119285,3.513221804839541,50.0,6.326530612244898,0.9759805661650419
0.792,4.8420000000000005,0.0,3.0,0.0,3.0,3.2375087104129934,50.0,6.326530612244898,0.9586382756337851
0.792,4.8420000000000005,0.0,3.0,0.75,3.092329219213245,3.2375087104129934,50.0,6.326530612244898,0.8249017295656487
0.792,4.8420000000000005,0.0,3.0,1.5,3.3541019662496847,3.2375087104129934,50.0,6.326530612244898,0.6217708127222341
0.792,4.8420000000000005,0.0,3.0,2.25,3.75,3.2375087104129934,50.0,6.326530612244898,0.6174572944403353
1.584,1.614,0.0,2.25,3.0,3.75,3.863422970631096,50.0,6.326530612244898,0.6406592833683575
1.584,1.614,0.0,3.0,3.0,4.242640687119285,3.863422970631096,50.0,6.326530612244898,0.8283113449403484
1.584,3.228,0.0,0.75,3.0,3.092329219213245,2.802638087588192,50.0,6.326530612244898,0.6532946107954054
1.584,3.228,0.0,1.5,0.75,1.6770509831248424,2.802638087588192,50.0,6.326530612244898,0.6220035954750753
1.584,3.228,0.0,1.5,1.5,2.1213203435596424,2.802638087588192,50.0,6.326530612244898,0.8292076500559807
1.584,3.228,0.0,1.5,2.25,2.704163456597992,2.802638087588192,50.0,6.326530612244898,0.9343238236120901
1.584,3.228,0.0,1.5,3.0,3.3541019662496847,2.802638087588192,50.0,6.326530612244898,1.0166535878926228
1.584,3.228,0.0,2.25,0.0,2.25,2.802638087588192,50.0,6.326530612244898,0.6027604863967844
1.584,3.228,0.0,2.25,0.75,2.3717082451262845,2.802638087588192,50.0,6.326530612244898,0.9319228343466612
1.584,3.228,0.0,2.25,1.5,2.704163456597992,2.802638087588192,50.0,6.326530612244898,1.1986619291251424
1.584,3.228,0.0,2.25,2.25,3.181980515339464,2.802638087588192,50.0,6.326530612244898,1.3457651816419305
1.584,3.228,0.0,2.25,3.0,3.75,2.802638087588192,50.0,6.326530612244898,1.4087428981299732
1.584,3.228,0.0,3.0,0.0,3.0,2.802638087588192,50.0,6.326530612244898,0.8255285009040401
1.584,3.228,0.0,3.0,0.75,3.092329219213245,2.802638087588192,50.0,6.326530612244898,1.169283699572104
1.584,3.228,0.0,3.0,1.5,3.3541019662496847,2.802638087588192,50.0,6.326530612244898,1.5177070192609152
1.584,3.228,0.0,3.0,2.25,3.75,2.802638087588192,50.0,6.326530612244898,1.751542747319373
1.584,3.228,0.0,3.0,3.0,4.242640687119285,2.802638087588192,50.0,6.326530612244898,1.8109969503741288
1.584,4.8420000000000005,0.0,1.5,0.0,1.5,2.4481657317265104,50.0,6.326530612244898,0.9215546179454553
1.584,4.8420000000000005,0.0,1.5,0.75,1.6770509831248424,2.4481657317265104,50.0,6.326530612244898,0.7911859121764319
1.584,4.8420000000000005,0.0,2.25,0.0,2.25,2.4481657317265104,50.0,6.326530612244898,1.3272847546639082
1.584,4.8420000000000005,0.0,2.25,0.75,2.3717082451262845,2.4481657317265104,50.0,6.326530612244898,1.1478014915350925
1.584,4.8420000000000005,0.0,2.25,1.5,2.704163456597992,2.4481657317265104,50.0,6.326530612244898,0.9612130081836943
1.584,4.8420000000000005,0.0,2.25,2.25,3.181980515339464,2.4481657317265104,50.0,6.326530612244898,0.935197303358483
1.584,4.8420000000000005,0.0,3.0,0.0,3.0,2.4481657317265104,50.0,6.326530612244898,1.7187350065894413
1.584,4.8420000000000005,0.0,3.0,0.75,3.092329219213245,2.4481657317265104,50.0,6.326530612244898,1.5018915311381684
1.584,4.8420000000000005,0.0,3.0,1.5,3.3541019662496847,2.4481657317265104,50.0,6.326530612244898,1.3646099642153855
1.584,4.8420000000000005,0.0,3.0,2.25,3.75,2.4481657317265104,50.0,6.326530612244898,1.3464114911658127
1.584,4.8420000000000005,0.0,3.0,3.0,4.242640687119285,2.4481657317265104,50.0,6.326530612244898,1.4517812571551016
2.3760000000000003,1.614,0.0,0.75,3.0,3.092329219213245,3.419447009386167,50.0,6.326530612244898,0.6193892640759404
2.3760000000000003,1.614,0.0,1.5,3.0,3.3541019662496847,3.419447009386167,50.0,6.326530612244898,0.815203736237584
2.3760000000000003,1.614,0.0,2.25,3.0,3.75,3.419447009386167,50.0,6.326530612244898,0.9072930599113407
2.3760000000000003,1.614,0.0,3.0,3.0,4.242640687119285,3.419447009386167,50.0,6.326530612244898,0.9034975882872354
2.3760000000000003,3.228,0.0,0.0,0.75,0.75,2.149735111589332,50.0,6.326530612244898,0.5915090337193655
2.3760000000000003,3.228,0.0,0.0,1.5,1.5,2.149735111589332,50.0,6.326530612244898,0.7944457339199751
2.3760000000000003,3.228,0.0,0.0,2.25,2.25,2.149735111589332,50.0,6.326530612244898,0.946022012921317
2.3760000000000003,3.228,0.0,0.0,3.0,3.0,2.149735111589332,50.0,6.326530612244898,1.2082678223661263
2.3760000000000003,3.228,0.0,0.75,0.75,1.0606601717798212,2.149735111589332,50.0,6.326530612244898,0.9060904419888225
2.3760000000000003,3.228,0.0,0.75,1.5,1.6770509831248424,2.149735111589332,50.0,6.326530612244898,1.1664653848572801
2.3760000000000003,3.228,0.0,0.75,2.25,2.3717082451262845,2.149735111589332,50.0,6.326530612244898,1.321568751039272
2.3760000000000003,3.228,0.0,0.75,3.0,3.092329219213245,2.149735111589332,50.0,6.326530612244898,1.5203609589032407
2.3760000000000003,3.228,0.0,1.5,0.0,1.5,2.149735111589332,50.0,6.326530612244898,0.7727823202177078
2.3760000000000003,3.228,0.0,1.5,0.75,1.6770509831248424,2.149735111589332,50.0,6.326530612244898,1.1518835888017445
2.3760000000000003,3.228,0.0,1.5,1.5,2.1213203435596424,2.149735111589332,50.0,6.326530612244898,1.4925597995682083
2.3760000000000003,3.228,0.0,1.5,2.25,2.704163456597992,2.149735111589332,50.0,6.326530612244898,1.7153167767183317
2.3760000000000003,3.228,0.0,1.5,3.0,3.3541019662496847,2.149735111589332,50.0,6.326530612244898,1.8727693734480622
2.3760000000000003,3.228,0.0,2.25,0.0,2.25,2.149735111589332,50.0,6.326530612244898,0.9156989872830148
2.3760000000000003,3.228,0.0,2.25,0.75,2.3717082451262845,2.149735111589332,50.0,6.326530612244898,1.2930085239699614
2.3760000000000003,3.228,0.0,2.25,1.5,2.704163456597992,2.149735111589332,50.0,6.326530612244898,1.6880221612238637
2.3760000000000003,3.228,0.0,2.25,2.25,3.181980515339464,2.149735111589332,50.0,6.326530612244898,2.0775534799805233
2.3760000000000003,3.228,0.0,2.25,3.0,3.75,2.149735111589332,50.0,6.326530612244898,2.246600581516212
2.3760000000000003,3.228,0.0,3.0,0.0,3.0,2.149735111589332,50.0,6.326530612244898,1.176707459710341
2.3760000000000003,3.228,0.0,3.0,0.75,3.092329219213245,2.149735111589332,50.0,6.326530612244898,1.48929743620467
2.3760000000000003,3.228,0.0,3.0,1.5,3.3541019662496847,2.149735111589332,50.0,6.326530612244898,1.8427030762468783
2.3760000000000003,3.228,0.0,3.0,2.25,3.75,2.149735111589332,50.0,6.326530612244898,2.2174949305262643
2.3760000000000003,3.228,0.0,3.0,3.0,4.242640687119285,2.149735111589332,50.0,6.326530612244898,2.6044566175280646
2.3760000000000003,4.8420000000000005,0.0,0.0,0.0,0.0,1.6613537401769676,50.0,6.326530612244898,0.8844779259385525
2.3760000000000003,4.8420000000000005,0.0,0.0,0.75,0.75,1.6613537401769676,50.0,6.326530612244898,0.7572989650464867
2.3760000000000003,4.8420000000000005,0.0,0.75,0.0,0.75,1.6613537401769676,50.0,6.326530612244898,1.2907689701995293
2.3760000000000003,4.8420000000000005,0.0,0.75,0.75,1.0606601717798212,1.6613537401769676,50.0,6.326530612244898,1.1170273503122012
2.3760000000000003,4.8420000000000005,0.0,0.75,1.5,1.6770509831248424,1.6613537401769676,50.0,6.326530612244898,0.8842245241413399
2.3760000000000003,4.8420000000000005,0.0,0.75,2.25,2.3717082451262845,1.6613537401769676,50.0,6.326530612244898,0.800582634541595
2.3760000000000003,4.8420000000000005,0.0,1.5,0.0,1.5,1.6613537401769676,50.0,6.326530612244898,1.6845594895830245
2.3760000000000003,4.8420000000000005,0.0,1.5,0.75,1.6770509831248424,1.6613537401769676,50.0,6.326530612244898,1.4500131605946487
2.3760000000000003,4.8420000000000005,0.0,1.5,1.5,2.1213203435596424,1.6613537401769676,50.0,6.326530612244898,1.2717847088081364
2.3760000000000003,4.8420000000000005,0.0,1.5,2.25,2.704163456597992,1.6613537401769676,50.0,6.326530612244898,1.2151197024140372
2.3760000000000003,4.8420000000000005,0.0,2.25,0.0,2.25,1.6613537401769676,50.0,6.326530612244898,2.0277046270733123
2.3760000000000003,4.8420000000000005,0.0,2.25,0.75,2.3717082451262845,1.6613537401769676,50.0,6.326530612244898,1.8117126892360624
2.3760000000000003,4.8420000000000005,0.0,2.25,1.5,2.704163456597992,1.6613537401769676,50.0,6.326530612244898,1.672483497078366
2.3760000000000003,4.8420000000000005,0.0,2.25,2.25,3.181980515339464,1.6613537401769676,50.0,6.326530612244898,1.6298099869727336
2.3760000000000003,4.8420000000000005,0.0,2.25,3.0,3.75,1.6613537401769676,50.0,6.326530612244898,1.6910178902804998
2.3760000000000003,4.8420000000000005,0.0,3.0,0.0,3.0,1.6613537401769676,50.0,6.326530612244898,2.373927573257422
2.3760000000000003,4.8420000000000005,0.0,3.0,0.75,3.092329219213245,1.6613537401769676,50.0,6.326530612244898,2.1923158843461215
2.3760000000000003,4.8420000000000005,0.0,3.0,1.5,3.3541019662496847,1.6613537401769676,50.0,6.326530612244898,2.0787369040878723
2.3760000000000003,4.8420000000000005,0.0,3.0,2.25,3.75,1.6613537401769676,50.0,6.326530612244898,2.044560261291756
2.3760000000000003,4.8420000000000005,0.0,3.0,3.0,4.242640687119285,1.6613537401769676,50.0,6.326530612244898,2.093678001428602
2.3760000000000003,6.456,0.0,3.0,0.0,3.0,2.471603416812657,50.0,6.326530612244898,0.6782123643382628
3.168,1.614,0.0,0.0,3.0,3.0,3.1166852022621727,50.0,6.326530612244898,0.8012193539398718
3.168,1.614,0.0,0.75,3.0,3.092329219213245,3.1166852022621727,50.0,6.326530612244898,0.9039249417586945
