robot_x,robot_y,robot_yaw_deg,robot_vel_x,robot_vel_y,pitch_deg,flywheel_speed,lateral_error,turret_yaw_F_deg
0.0,0.0,0.0,0.0,0.0,50.0,8.392393320964748,0.0484354936563233,50.946920499443316
0.0,0.0,0.0,0.0,0.75,50.0,8.07235621521336,0.023552929994439004,45.946920499443316
0.0,0.0,0.0,0.0,1.5,50.0,7.795918367346939,0.027335438385459723,40.49237504489787
0.0,0.0,0.0,0.0,2.25,50.0,7.566790352504638,0.029633078060950876,34.28025383277666
0.0,0.0,0.0,0.0,3.0,50.0,7.383116883116884,0.043284316267795,28.219647772170596
0.0,0.0,0.0,0.75,0.0,50.0,8.16326530612245,0.013941084641393106,57.46207201459484
0.0,0.0,0.0,0.75,0.75,50.0,7.841372912801484,0.043907862009211325,52.15904171156453
0.0,0.0,0.0,0.75,1.5,50.0,7.521335807050093,0.05179325494926797,46.552981105503925
0.0,0.0,0.0,0.75,2.25,50.0,7.335807050092765,0.039991967643215984,41.09843565095847
0.0,0.0,0.0,0.75,3.0,50.0,7.152133580705009,0.04013900659773458,34.1287386812615
0.0,0.0,0.0,1.5,0.0,50.0,7.934137291280149,0.041861186181896624,64.58328413580695
0.0,0.0,0.0,1.5,0.75,50.0,7.612244897959184,0.0011794572831618437,59.28025383277665
0.0,0.0,0.0,1.5,1.5,50.0,7.335807050092765,0.0016090111135974344,53.8257083782312
0.0,0.0,0.0,1.5,2.25,50.0,7.106679035250464,0.01817434181633038,47.91661746914029
0.0,0.0,0.0,1.5,3.0,50.0,6.923005565862709,0.0365395667730853,41.85601140853423
0.0,0.0,0.0,2.25,0.0,50.0,7.795918367346939,0.01185351926225131,71.40146595398876
0.0,0.0,0.0,2.25,0.75,50.0,7.474025974025974,0.04408789602888726,67.00752656004937
0.0,0.0,0.0,2.25,1.5,50.0,7.199443413729128,0.04659985140914427,61.24995080247361
0.0,0.0,0.0,2.25,2.25,50.0,6.968460111317254,0.035286803995468644,55.03782959035241
0.0,0.0,0.0,2.25,3.0,50.0,6.784786641929498,0.014364381695152013,49.583284135806956
0.0,0.0,0.0,3.0,0.0,50.0,7.703153988868275,0.02566026217927233,79.58328413580696
0.0,0.0,0.0,3.0,0.75,50.0,7.337662337662339,0.017988995474506244,74.1287386812615
0.0,0.0,0.0,3.0,1.5,50.0,7.061224489795919,0.004523031134405422,68.97722352974634
0.0,0.0,0.0,3.0,2.25,50.0,6.832096474953618,0.030887227715736418,63.06813262065544
0.0,0.0,0.0,3.0,3.0,50.0,6.6938775510204085,0.05301968376379827,57.46207201459484
0.0,1.614,0.0,0.0,0.0,50.0,7.750463821892394,0.013017869248426659,38.70079574079096
0.0,1.614,0.0,0.0,0.75,50.0,7.519480519480519,0.015761705619948278,31.882613922609142
0.0,1.614,0.0,0.0,1.5,50.0,7.335807050092765,0.011937942479952491,24.609886649881865
0.0,1.614,0.0,0.0,2.25,50.0,7.199443413729128,0.013081613091566595,16.579583619578838
0.0,1.614,0.0,0.0,3.0,50.0,7.106679035250464,0.04159603471260219,8.397765437760658
0.0,1.614,0.0,0.75,0.0,50.0,7.428571428571429,0.032292426692899064,44.609886649881865
0.0,1.614,0.0,0.75,0.75,50.0,7.199443413729128,0.03306967311856493,37.791704831700045
0.0,1.614,0.0,0.75,1.5,50.0,7.015769944341374,0.050495964651003,29.60988664988187
0.0,1.614,0.0,0.75,2.25,50.0,6.923005565862709,0.029487489063724448,21.73109877109399
0.0,1.614,0.0,0.75,3.0,50.0,6.832096474953618,0.010424866145103533,13.54928058927581
0.0,1.614,0.0,1.5,0.0,50.0,7.199443413729128,0.024659940520700755,50.215947255942474
0.0,1.614,0.0,1.5,0.75,50.0,6.970315398886829,0.014896345799964003,43.39776543776066
0.0,1.614,0.0,1.5,1.5,50.0,6.786641929499073,0.05866499569757707,35.51897755897278
0.0,1.614,0.0,1.5,2.25,50.0,6.6938775510204085,0.017510483733533658,28.246250286245505
0.0,1.614,0.0,1.5,3.0,50.0,6.6029684601113185,0.022050225242361506,19.458371498366716
0.0,1.614,0.0,2.25,0.0,50.0,7.015769944341374,0.013356998687841602,56.88261392260914
0.0,1.614,0.0,2.25,0.75,50.0,6.786641929499073,0.03172625117256916,50.06443210442732
0.0,1.614,0.0,2.25,1.5,50.0,6.6484230055658635,0.028292974034392605,41.73109877109399
0.0,1.614,0.0,2.25,2.25,50.0,6.510204081632653,0.06919014241986468,34.30685634685156
0.0,1.614,0.0,2.25,3.0,50.0,6.4647495361781075,0.021524169241207095,25.67049271048793
0.0,1.614,0.0,3.0,0.0,50.0,6.877551020408164,0.012098811919264069,64.00382604382125
0.0,1.614,0.0,3.0,0.75,50.0,6.6484230055658635,0.03522604636723464,56.27655331654854
0.0,1.614,0.0,3.0,1.5,50.0,6.510204081632653,0.029557957409629423,48.852310892306114
0.0,1.614,0.0,3.0,2.25,50.0,6.419294990723563,0.023240952309963765,40.97352301351823
0.0,1.614,0.0,3.0,3.0,50.0,6.371985157699443,0.041129206199738366,32.6401896801849
0.0,3.228,0.0,0.0,0.0,50.0,7.244897959183674,0.030802857535851987,20.092383383589716
0.0,3.228,0.0,0.0,0.75,50.0,7.152133580705009,0.003433313805436613,11.607534898741234
0.0,3.228,0.0,0.0,1.5,50.0,7.106679035250464,0.02801714108173265,2.0620803532866887
0.0,3.228,0.0,0.0,2.25,50.0,7.106679035250464,0.028980338765015805,-7.028828737622402
0.0,3.228,0.0,0.0,3.0,50.0,7.197588126159555,0.03302065203738126,-16.4227681315618
